family,L,M,N,K,p,shots,fails,wer,seconds
toric_surface_mwpm_uninformed,12,12,288,2,0.05,10000,1,0.0001,0.395115
toric_surface_mwpm_uninformed,12,12,288,2,0.06,10000,4,0.0004,0.436659
toric_surface_mwpm_uninformed,12,12,288,2,0.07,10000,3,0.0003,0.481998
toric_surface_mwpm_uninformed,12,12,288,2,0.08,10000,9,0.0009,0.371383
toric_surface_mwpm_uninformed,12,12,288,2,0.09,10000,19,0.0019,0.371088
toric_surface_mwpm_uninformed,12,12,288,2,0.1,10000,55,0.0055,0.47427
toric_surface_mwpm_uninformed,12,12,288,2,0.11,10000,72,0.0072,0.553505
toric_surface_mwpm_uninformed,12,12,288,2,0.12,10000,168,0.0168,0.84524
toric_surface_mwpm_uninformed,12,12,288,2,0.13,10000,267,0.0267,0.659828
toric_surface_mwpm_uninformed,12,12,288,2,0.14,10000,423,0.0423,0.79076
toric_surface_mwpm_uninformed,12,12,288,2,0.15,10000,621,0.0621,0.714517
toric_surface_mwpm_uninformed,12,12,288,2,0.16,10000,855,0.0855,0.757388
toric_surface_mwpm_uninformed,12,12,288,2,0.17,10000,1222,0.1222,0.797424
toric_surface_mwpm_uninformed,12,12,288,2,0.18,10000,1546,0.1546,1.538314
toric_surface_mwpm_uninformed,12,12,288,2,0.19,10000,2041,0.2041,0.860466
toric_surface_mwpm_uninformed,12,12,288,2,0.2,10000,2488,0.2488,0.912885
toric_surface_mwpm_uninformed,12,12,288,2,0.21,10000,3003,0.3003,0.849164
toric_surface_mwpm_uninformed,12,12,288,2,0.22,10000,3478,0.3478,0.865573
toric_surface_mwpm_uninformed,12,12,288,2,0.23,10000,3962,0.3962,0.969516
toric_surface_mwpm_uninformed,12,12,288,2,0.24,10000,4452,0.4452,0.92046
toric_surface_mwpm_uninformed,12,12,288,2,0.25,10000,4884,0.4884,0.885134
toric_surface_mwpm_uninformed,12,12,288,2,0.26,10000,5302,0.5302,0.668337
toric_surface_mwpm_uninformed,12,12,288,2,0.27,10000,5633,0.5633,0.6615
toric_surface_mwpm_uninformed,12,12,288,2,0.28,10000,6084,0.6084,0.863801
toric_surface_mwpm_uninformed,12,12,288,2,0.29,10000,6282,0.6282,0.752129
toric_surface_mwpm_uninformed,12,12,288,2,0.3,10000,6610,0.661,0.737973
toric_surface_mwpm_uninformed,18,18,648,2,0.05,10000,0,0.0,0.384372
toric_surface_mwpm_uninformed,18,18,648,2,0.06,10000,0,0.0,0.396728
toric_surface_mwpm_uninformed,18,18,648,2,0.07,10000,0,0.0,0.390879
toric_surface_mwpm_uninformed,18,18,648,2,0.08,10000,2,0.0002,0.405677
toric_surface_mwpm_uninformed,18,18,648,2,0.09,10000,4,0.0004,0.425611
toric_surface_mwpm_uninformed,18,18,648,2,0.1,10000,3,0.0003,0.487427
toric_surface_mwpm_uninformed,18,18,648,2,0.11,10000,18,0.0018,0.542603
toric_surface_mwpm_uninformed,18,18,648,2,0.12,10000,48,0.0048,0.595428
toric_surface_mwpm_uninformed,18,18,648,2,0.13,10000,79,0.0079,0.599416
toric_surface_mwpm_uninformed,18,18,648,2,0.14,10000,172,0.0172,0.985976
toric_surface_mwpm_uninformed,18,18,648,2,0.15,10000,306,0.0306,0.96855
toric_surface_mwpm_uninformed,18,18,648,2,0.16,10000,578,0.0578,1.047519
toric_surface_mwpm_uninformed,18,18,648,2,0.17,10000,926,0.0926,1.498102
toric_surface_mwpm_uninformed,18,18,648,2,0.18,10000,1330,0.133,1.511728
toric_surface_mwpm_uninformed,18,18,648,2,0.19,10000,1783,0.1783,1.636362
toric_surface_mwpm_uninformed,18,18,648,2,0.2,10000,2419,0.2419,1.746803
