family,L,M,N,K,p,shots,fails,wer,seconds
toric_surface_mwpm_erasure_aware,12,12,288,2,0.38,50000,1841,0.03682,37.02340626716614
toric_surface_mwpm_erasure_aware,12,12,288,2,0.42,50000,6922,0.13844,41.47784447669983
toric_surface_mwpm_erasure_aware,12,12,288,2,0.4,50000,3651,0.07302,39.605419635772705
toric_surface_mwpm_erasure_aware,12,12,288,2,0.41,50000,5056,0.10112,42.676738023757935
toric_surface_mwpm_erasure_aware,12,12,288,2,0.405,50000,4307,0.08614,40.32520890235901
toric_surface_mwpm_erasure_aware,12,12,288,2,0.4075,50000,4620,0.0924,35.20291018486023
toric_surface_mwpm_erasure_aware,12,12,288,2,0.40875,50000,4924,0.09848,35.32928800582886
toric_surface_mwpm_erasure_aware,12,12,288,2,0.409375,50000,5066,0.10132,34.73191738128662
toric_surface_mwpm_erasure_aware,12,12,288,2,0.4090625,50000,4971,0.09942,34.43476748466492
toric_surface_mwpm_erasure_aware,12,12,288,2,0.40921875,50000,4937,0.09874,34.34454679489136
toric_surface_mwpm_erasure_aware,18,18,648,2,0.38,50000,294,0.00588,59.34458541870117
toric_surface_mwpm_erasure_aware,18,18,648,2,0.42,50000,2800,0.056,64.29045510292053
toric_surface_mwpm_erasure_aware,18,18,648,2,0.46,50000,13620,0.2724,72.32079195976257
toric_surface_mwpm_erasure_aware,18,18,648,2,0.44,50000,6700,0.134,66.80657982826233
toric_surface_mwpm_erasure_aware,18,18,648,2,0.43,50000,4500,0.09,64.63589215278625
toric_surface_mwpm_erasure_aware,18,18,648,2,0.435,50000,5474,0.10948,64.72660732269287
toric_surface_mwpm_erasure_aware,18,18,648,2,0.4325,50000,4960,0.0992,64.8648669719696
toric_surface_mwpm_erasure_aware,18,18,648,2,0.43375,50000,5065,0.1013,64.9424204826355
toric_surface_mwpm_erasure_aware,18,18,648,2,0.433125,50000,5043,0.10086,64.72699165344238
toric_surface_mwpm_erasure_aware,18,18,648,2,0.4328125,50000,4958,0.09916,64.37036228179932
toric_surface_mwpm_erasure_aware,18,18,648,2,0.43296875,50000,5078,0.10156,67.18749022483826
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.38,50000,49,0.00098,100.75511169433594
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.42,50000,1019,0.02038,106.90100526809692
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.46,50000,9916,0.19832,131.817462682724
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.44,50000,3601,0.07202,115.38753890991211
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.45,50000,6237,0.12474,122.16260480880737
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.445,50000,4734,0.09468,119.35475325584412
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.4475,50000,5569,0.11138,120.0430793762207
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.44625,50000,5187,0.10374,118.61210370063782
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.445625,50000,4961,0.09922,119.02096128463745
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.4459375,50000,5064,0.10128,118.98638391494751
toric_surface_mwpm_erasure_aware,24,24,1152,2,0.44578125,50000,5063,0.10126,119.31874108314514
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.38,50000,10,0.0002,155.29581880569458
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.42,50000,381,0.00762,168.4258222579956
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.46,50000,7048,0.14096,217.4463255405426
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.44,50000,1847,0.03694,207.3839373588562
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.45,50000,3791,0.07582,243.26955771446228
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.455,50000,5278,0.10556,254.41428899765015
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.4525,50000,4520,0.0904,252.9660358428955
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.45375,50000,4863,0.09726,261.12500834465027
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.454375,50000,5045,0.1009,258.2529466152191
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.4540625,50000,5100,0.102,257.3283655643463
toric_surface_mwpm_erasure_aware,30,30,1800,2,0.45390625,50000,5012,0.10024,260.3866822719574
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.38,50000,1,2e-05,298.4668707847595
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.42,50000,126,0.00252,317.496417760849
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.46,50000,4999,0.09998,436.56763911247253
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.5,50000,32395,0.6479,1068.414110660553
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.48,50000,16562,0.33124,662.8265888690948
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.47,50000,9807,0.19614,523.7083909511566
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.465,50000,7187,0.14374,482.38406133651733
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.4625,50000,6048,0.12096,391.5341897010803
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.46125,50000,5510,0.1102,345.34166741371155
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.460625,50000,5306,0.10612,344.3572018146515
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.4603125,50000,5115,0.1023,342.2628037929535
toric_surface_mwpm_erasure_aware,36,36,2592,2,0.46015625,50000,5028,0.10056,341.36191272735596
