family,L,M,N,p,shots,fails,wer,seconds,channel_model,depolar_rate,delta_eps_ratio
bivariate_bicycle,12,6,144,0.05,10000,0,0.0,1.031,mixed,0.005,0.1
bivariate_bicycle,12,6,144,0.07,10000,0,0.0,1.366,mixed,0.007,0.1
bivariate_bicycle,12,6,144,0.09,10000,1,0.0001,1.851,mixed,0.009,0.1
bivariate_bicycle,12,6,144,0.11,10000,9,0.0009,1.954,mixed,0.011,0.1
bivariate_bicycle,12,6,144,0.13,10000,28,0.0028,4.456,mixed,0.013,0.1
bivariate_bicycle,12,6,144,0.15,10000,64,0.0064,5.025,mixed,0.015,0.1
bivariate_bicycle,12,6,144,0.17,10000,199,0.0199,2.887,mixed,0.017,0.1
bivariate_bicycle,12,6,144,0.19,10000,567,0.0567,3.627,mixed,0.019,0.1
bivariate_bicycle,12,6,144,0.21,10000,1133,0.1133,4.879,mixed,0.021,0.1
bivariate_bicycle,12,6,144,0.19,50000,2823,0.05646,18.204,mixed,0.019,0.1
bivariate_bicycle,12,6,144,0.21,50000,5626,0.11252,24.213,mixed,0.021,0.1
bivariate_bicycle,12,6,144,0.2,50000,4189,0.08378,20.681,mixed,0.02,0.1
bivariate_bicycle,12,6,144,0.205,50000,4871,0.09742,22.464,mixed,0.0205,0.1
bivariate_bicycle,12,6,144,0.2075,50000,4846,0.09692,23.16,mixed,0.02075,0.1
bivariate_bicycle,12,6,144,0.20875,50000,5069,0.10138,24.413,mixed,0.020875,0.1
bivariate_bicycle,12,6,144,0.208125,50000,5292,0.10584,22.862,mixed,0.0208125,0.1
bivariate_bicycle,12,6,144,0.2078125,50000,5286,0.10572,22.89,mixed,0.02078125,0.1
bivariate_bicycle,12,6,144,0.05,10000,2,0.0002,2.006,mixed,0.015,0.3
bivariate_bicycle,12,6,144,0.07,10000,14,0.0014,2.065,mixed,0.021,0.3
bivariate_bicycle,12,6,144,0.09,10000,94,0.0094,2.368,mixed,0.027,0.3
bivariate_bicycle,12,6,144,0.11,10000,371,0.0371,3.184,mixed,0.033,0.3
bivariate_bicycle,12,6,144,0.13,10000,964,0.0964,4.58,mixed,0.039,0.3
bivariate_bicycle,12,6,144,0.15,10000,2106,0.2106,6.72,mixed,0.045,0.3
bivariate_bicycle,12,6,144,0.13,50000,4795,0.0959,22.417,mixed,0.039,0.3
bivariate_bicycle,12,6,144,0.15,50000,10779,0.21558,32.812,mixed,0.045,0.3
bivariate_bicycle,12,6,144,0.14,50000,7425,0.1485,27.313,mixed,0.042,0.3
bivariate_bicycle,12,6,144,0.135,50000,6855,0.1371,25.258,mixed,0.0405,0.3
bivariate_bicycle,12,6,144,0.1325,50000,6196,0.12392,24.201,mixed,0.03975,0.3
bivariate_bicycle,12,6,144,0.13125,50000,5814,0.11628,23.174,mixed,0.039375,0.3
bivariate_bicycle,12,6,144,0.130625,50000,5800,0.116,22.552,mixed,0.0391875,0.3
bivariate_bicycle,12,6,144,0.1303125,50000,5630,0.1126,23.029,mixed,0.03909375,0.3
bivariate_bicycle,12,6,144,0.05,10000,16,0.0016,2.153,mixed,0.025,0.5
bivariate_bicycle,12,6,144,0.07,10000,159,0.0159,2.592,mixed,0.035,0.5
bivariate_bicycle,12,6,144,0.09,10000,646,0.0646,3.871,mixed,0.045,0.5
bivariate_bicycle,12,6,144,0.11,10000,2326,0.2326,6.64,mixed,0.055,0.5
bivariate_bicycle,12,6,144,0.09,50000,3408,0.06816,19.704,mixed,0.045,0.5
bivariate_bicycle,12,6,144,0.11,50000,11628,0.23256,32.204,mixed,0.055,0.5
bivariate_bicycle,12,6,144,0.1,50000,6313,0.12626,24.754,mixed,0.05,0.5
bivariate_bicycle,12,6,144,0.095,50000,5283,0.10566,22.615,mixed,0.0475,0.5
bivariate_bicycle,12,6,144,0.0925,50000,4661,0.09322,21.166,mixed,0.04625,0.5
bivariate_bicycle,12,6,144,0.09375,50000,5013,0.10026,21.685,mixed,0.046875,0.5
bivariate_bicycle,12,6,144,0.093125,50000,4858,0.09716,21.818,mixed,0.0465625,0.5
bivariate_bicycle,12,6,144,0.0934375,50000,4382,0.08764,21.379,mixed,0.04671875,0.5
bivariate_bicycle,12,6,144,0.05,10000,111,0.0111,2.625,mixed,0.0375,0.75
bivariate_bicycle,12,6,144,0.07,10000,1043,0.1043,4.395,mixed,0.0525,0.75
bivariate_bicycle,12,6,144,0.05,50000,569,0.01138,11.854,mixed,0.0375,0.75
bivariate_bicycle,12,6,144,0.07,50000,5075,0.1015,22.023,mixed,0.0525,0.75
bivariate_bicycle,12,6,144,0.06,50000,1745,0.0349,15.856,mixed,0.045,0.75
bivariate_bicycle,12,6,144,0.065,50000,2806,0.05612,18.234,mixed,0.04875,0.75
bivariate_bicycle,12,6,144,0.0675,50000,3959,0.07918,20.354,mixed,0.050625,0.75
bivariate_bicycle,12,6,144,0.06875,50000,4445,0.0889,23.354,mixed,0.0515625,0.75
bivariate_bicycle,12,6,144,0.069375,50000,4745,0.0949,21.392,mixed,0.05203125,0.75
bivariate_bicycle,12,6,144,0.0696875,50000,4738,0.09476,22.138,mixed,0.052265625,0.75
bivariate_bicycle,12,6,144,0.05,10000,436,0.0436,3.908,mixed,0.05,1.0
bivariate_bicycle,12,6,144,0.07,10000,2896,0.2896,7.26,mixed,0.07,1.0
bivariate_bicycle,12,6,144,0.05,50000,2314,0.04628,17.164,mixed,0.05,1.0
bivariate_bicycle,12,6,144,0.07,50000,14189,0.28378,36.447,mixed,0.07,1.0
bivariate_bicycle,12,6,144,0.06,50000,7040,0.1408,26.438,mixed,0.06,1.0
bivariate_bicycle,12,6,144,0.055,50000,4595,0.0919,25.893,mixed,0.055,1.0
bivariate_bicycle,12,6,144,0.0575,50000,5681,0.11362,30.134,mixed,0.0575,1.0
bivariate_bicycle,12,6,144,0.05625,50000,5039,0.10078,24.505,mixed,0.05625,1.0
bivariate_bicycle,12,6,144,0.055625,50000,4297,0.08594,21.255,mixed,0.055625,1.0
bivariate_bicycle,12,6,144,0.0559375,50000,5114,0.10228,21.87,mixed,0.0559375,1.0
bivariate_bicycle,12,6,144,0.05,10000,0,0.0,0.917,mixed,0.0025,0.05
bivariate_bicycle,12,6,144,0.07,10000,1,0.0001,0.937,mixed,0.0035,0.05
bivariate_bicycle,12,6,144,0.09,10000,0,0.0,0.965,mixed,0.0045,0.05
bivariate_bicycle,12,6,144,0.11,10000,0,0.0,1.006,mixed,0.0055,0.05
bivariate_bicycle,12,6,144,0.13,10000,3,0.0003,1.026,mixed,0.0065,0.05
bivariate_bicycle,12,6,144,0.15,10000,11,0.0011,1.111,mixed,0.0075,0.05
bivariate_bicycle,12,6,144,0.17,10000,46,0.0046,1.224,mixed,0.0085,0.05
bivariate_bicycle,12,6,144,0.19,10000,119,0.0119,1.377,mixed,0.0095,0.05
bivariate_bicycle,12,6,144,0.21,10000,270,0.027,1.703,mixed,0.0105,0.05
bivariate_bicycle,12,6,144,0.23,10000,493,0.0493,2.271,mixed,0.0115,0.05
bivariate_bicycle,12,6,144,0.25,10000,1018,0.1018,2.845,mixed,0.0125,0.05
bivariate_bicycle,12,6,144,0.249314286,50000,4759,0.09518,13.993,mixed,0.012465714,0.05
bivariate_bicycle,12,6,144,0.249813552,50000,5065,0.1013,22.629,mixed,0.012490678,0.05
bivariate_bicycle,12,6,144,0.249707499,50000,5178,0.10356,22.237,mixed,0.012485375,0.05
bivariate_bicycle,12,6,144,0.249540454,50000,5110,0.1022,21.743,mixed,0.012477023,0.05
bivariate_bicycle,12,6,144,0.249469575,50000,5190,0.1038,35.463,mixed,0.012473479,0.05
bivariate_bicycle,12,6,144,0.249401118,50000,4975,0.0995,44.118,mixed,0.012470056,0.05
bivariate_bicycle,12,6,144,0.05,10000,0,0.0,1.911,mixed,0.01,0.2
bivariate_bicycle,12,6,144,0.07,10000,6,0.0006,2.067,mixed,0.014,0.2
bivariate_bicycle,12,6,144,0.09,10000,17,0.0017,2.154,mixed,0.018,0.2
