family,L,M,N,K,p,shots,fails,wer,seconds,channel_model,depolar_rate,delta_eps_ratio
bivariate_bicycle,18,9,324,,0.3,30000,0,0.0,25.426445484161377,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.33,30000,0,0.0,28.4600932598114,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.36,30000,2,6.666666666666667e-05,31.124592542648315,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.39,30000,72,0.0024,32.13060712814331,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.42,30000,894,0.0298,75.50483322143555,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.45,30000,5490,0.183,64.31769299507141,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.42,200000,5933,0.029665,333.28173780441284,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.45,200000,36599,0.182995,390.9724237918854,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.435,200000,16399,0.081995,357.3847327232361,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.4425,200000,24867,0.124335,377.4835376739502,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.43875,200000,20345,0.101725,373.1945421695709,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.436875,200000,18208,0.09104,363.15189003944397,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.4378125,200000,18972,0.09486,368.7160539627075,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.43828125,200000,19698,0.09849,372.96772289276123,erasure_uniform,0.0,0.0
bivariate_bicycle,18,9,324,,0.3,30000,20069,0.6689666666666667,53.110291719436646,mixed,0.03,0.1
bivariate_bicycle,18,9,324,,0.3,30000,29984,0.9994666666666666,62.913105487823486,mixed,0.09,0.3
bivariate_bicycle,18,9,324,,0.3,30000,29999,0.9999666666666667,62.46076250076294,mixed,0.15,0.5
bivariate_bicycle,18,9,324,,0.3,30000,30000,1.0,62.62994384765625,mixed,0.22499999999999998,0.75
bivariate_bicycle,18,9,324,,0.3,30000,29999,0.9999666666666667,63.49861407279968,mixed,0.3,1.0
