L,M,N,K,p,shots,fails,wer,seconds
12,6,144,12,0.3,30000,73,0.0024333333333333334,4.106535911560059
12,6,144,12,0.31,30000,117,0.0039,1.8226854801177979
12,6,144,12,0.32,30000,196,0.006533333333333334,1.7904841899871826
12,6,144,12,0.33,30000,327,0.0109,1.9138784408569336
12,6,144,12,0.34,30000,530,0.017666666666666667,2.0427756309509277
12,6,144,12,0.35,30000,785,0.026166666666666668,2.317996025085449
12,6,144,12,0.36,30000,1245,0.0415,2.757016658782959
12,6,144,12,0.37,30000,1912,0.06373333333333334,2.888909101486206
12,6,144,12,0.38,30000,2679,0.0893,3.638967275619507
12,6,144,12,0.39,30000,3751,0.12503333333333333,5.022818565368652
12,6,144,12,0.4,30000,5237,0.17456666666666668,4.281421422958374
12,6,144,12,0.41,30000,6848,0.22826666666666667,4.726720571517944
12,6,144,12,0.42,30000,8689,0.28963333333333335,4.968951940536499
18,9,324,8,0.3,30000,0,0.0,6.30992865562439
18,9,324,8,0.31,30000,0,0.0,4.481127977371216
18,9,324,8,0.32,30000,0,0.0,4.972473859786987
18,9,324,8,0.33,30000,0,0.0,5.617860317230225
18,9,324,8,0.34,30000,0,0.0,6.286197662353516
18,9,324,8,0.35,30000,0,0.0,7.229202032089233
18,9,324,8,0.36,30000,1,3.3333333333333335e-05,8.250635623931885
18,9,324,8,0.37,30000,7,0.00023333333333333333,9.459686994552612
18,9,324,8,0.38,30000,9,0.0003,11.10519528388977
18,9,324,8,0.39,30000,39,0.0013,12.126927852630615
18,9,324,8,0.4,30000,105,0.0035,14.531756162643433
18,9,324,8,0.41,30000,258,0.0086,16.527016401290894
18,9,324,8,0.42,30000,558,0.0186,18.203591346740723
24,12,576,16,0.3,30000,0,0.0,13.301103591918945
24,12,576,16,0.31,30000,0,0.0,12.360283136367798
24,12,576,16,0.32,30000,0,0.0,15.242186546325684
24,12,576,16,0.33,30000,0,0.0,17.075926780700684
24,12,576,16,0.34,30000,0,0.0,20.05011010169983
24,12,576,16,0.35,30000,0,0.0,23.631426334381104
24,12,576,16,0.36,30000,1,3.3333333333333335e-05,25.32143259048462
24,12,576,16,0.37,30000,1,3.3333333333333335e-05,28.867411851882935
24,12,576,16,0.38,30000,2,6.666666666666667e-05,32.332266092300415
24,12,576,16,0.39,30000,12,0.0004,36.56593298912048
24,12,576,16,0.4,30000,28,0.0009333333333333333,40.58693885803223
24,12,576,16,0.41,30000,72,0.0024,47.87135195732117
24,12,576,16,0.42,30000,181,0.006033333333333333,55.86150240898132
