L,M,N,K,p,shots,fails,wer,seconds
12,6,144,12,0.3,30000,67,0.0022333333333333333,4.529084920883179
12,6,144,12,0.32,30000,196,0.006533333333333334,1.6534595489501953
12,6,144,12,0.34,30000,466,0.015533333333333333,2.0009775161743164
12,6,144,12,0.36,30000,1166,0.03886666666666667,2.7653675079345703
12,6,144,12,0.38,30000,2619,0.0873,3.4252374172210693
12,6,144,12,0.4,30000,5107,0.17023333333333332,4.44637656211853
12,6,144,12,0.39,30000,3752,0.12506666666666666,3.85697603225708
12,6,144,12,0.385,30000,3144,0.1048,3.4203903675079346
12,6,144,12,0.3825,30000,2946,0.0982,3.530573844909668
12,6,144,12,0.38375,30000,3018,0.1006,3.6278488636016846
12,6,144,12,0.383125,30000,3080,0.10266666666666667,3.559077024459839
12,6,144,12,0.3828125,30000,2953,0.09843333333333333,3.442857265472412
18,9,324,8,0.3,30000,0,0.0,3.8670389652252197
18,9,324,8,0.32,30000,0,0.0,4.831084489822388
18,9,324,8,0.34,30000,1,3.3333333333333335e-05,6.463557720184326
18,9,324,8,0.36,30000,1,3.3333333333333335e-05,8.1720712184906
18,9,324,8,0.38,30000,12,0.0004,10.66476821899414
18,9,324,8,0.4,30000,108,0.0036,14.668114423751831
18,9,324,8,0.42,30000,517,0.017233333333333333,18.76993227005005
18,9,324,8,0.44,30000,2227,0.07423333333333333,22.875803470611572
18,9,324,8,0.46,30000,6353,0.21176666666666666,25.286125898361206
18,9,324,8,0.45,30000,3987,0.1329,23.92143487930298
18,9,324,8,0.445,30000,3040,0.10133333333333333,22.782671213150024
18,9,324,8,0.4425,30000,2590,0.08633333333333333,22.90600037574768
18,9,324,8,0.44375,30000,2762,0.09206666666666667,21.984445095062256
18,9,324,8,0.444375,30000,2867,0.09556666666666666,23.291073322296143
18,9,324,8,0.4446875,30000,2927,0.09756666666666666,25.833473443984985
24,12,576,16,0.3,30000,0,0.0,12.306408882141113
24,12,576,16,0.32,30000,0,0.0,15.16165041923523
24,12,576,16,0.34,30000,0,0.0,19.224578857421875
24,12,576,16,0.36,30000,0,0.0,25.095565795898438
24,12,576,16,0.38,30000,1,3.3333333333333335e-05,32.91865849494934
24,12,576,16,0.4,30000,26,0.0008666666666666666,42.00901818275452
24,12,576,16,0.42,30000,165,0.0055,54.27395725250244
24,12,576,16,0.44,30000,1323,0.0441,49.808563232421875
24,12,576,16,0.46,30000,5661,0.1887,51.816030502319336
24,12,576,16,0.45,30000,2962,0.09873333333333334,58.47656512260437
24,12,576,16,0.455,30000,4169,0.13896666666666666,58.364013671875
24,12,576,16,0.4525,30000,3504,0.1168,52.71630120277405
24,12,576,16,0.45125,30000,3160,0.10533333333333333,54.946436643600464
24,12,576,16,0.450625,30000,3024,0.1008,64.39429545402527
24,12,576,16,0.4503125,30000,2948,0.09826666666666667,53.13105344772339
