L,M,N,K,p,shots,fails,wer,seconds
30,15,900,8,0.4,49995,0,0.0,140.39489340782166
30,15,900,8,0.43,49995,6,0.00012001200120012002,208.70871996879578
30,15,900,8,0.46,49995,1501,0.03002300230023002,269.1114785671234
30,15,900,8,0.49,49995,20556,0.41116111611161116,250.54557943344116
30,15,900,8,0.475,49995,7232,0.14465446544654464,265.4103813171387
30,15,900,8,0.4675,49995,3542,0.07084708470847084,265.9195981025696
30,15,900,8,0.47125,49995,5211,0.10423042304230423,267.2864520549774
30,15,900,8,0.469375,49995,4323,0.08646864686468647,265.4747803211212
30,15,900,8,0.4703125,49995,4935,0.09870987098709871,264.98777866363525
30,15,900,8,0.47078125,49995,5017,0.10035003500350036,264.4553427696228
36,18,1296,12,0.4,49995,0,0.0,272.3467507362366
36,18,1296,12,0.43,49995,3,6.000600060006001e-05,470.5904335975647
36,18,1296,12,0.46,49995,767,0.015341534153415342,714.9844427108765
36,18,1296,12,0.49,49995,21495,0.42994299429942995,606.4914033412933
36,18,1296,12,0.475,49995,6089,0.12179217921792179,700.8862533569336
36,18,1296,12,0.4675,49995,2407,0.048144814481448146,716.8363738059998
36,18,1296,12,0.47125,49995,3879,0.07758775877587759,698.102611541748
36,18,1296,12,0.473125,49995,4876,0.09752975297529753,700.1147108078003
36,18,1296,12,0.4740625,49995,5440,0.10881088108810881,701.1102364063263
36,18,1296,12,0.47359375,49995,5228,0.10457045704570457,693.8187818527222
