family,L,M,N,K,p,shots,fails,wer,seconds
bivariate_bicycle,12,6,144,12,0.3,200000,848,0.00424,19.046140909194946
bivariate_bicycle,12,6,144,12,0.32,200000,2332,0.01166,26.90922474861145
bivariate_bicycle,12,6,144,12,0.34,200000,6057,0.030285,49.67828679084778
bivariate_bicycle,12,6,144,12,0.36,200000,13742,0.06871,60.777320861816406
bivariate_bicycle,12,6,144,12,0.38,200000,27932,0.13966,54.919164419174194
bivariate_bicycle,12,6,144,12,0.37,200000,19924,0.09962,67.1174418926239
bivariate_bicycle,12,6,144,12,0.375,200000,23613,0.118065,65.53512024879456
bivariate_bicycle,12,6,144,12,0.3725,200000,21918,0.10959,57.55619931221008
bivariate_bicycle,12,6,144,12,0.37125,200000,20797,0.103985,47.660216331481934
bivariate_bicycle,12,6,144,12,0.370625,200000,20366,0.10183,49.94315958023071
bivariate_bicycle,12,6,144,12,0.3703125,200000,20263,0.101315,62.49963164329529
bivariate_bicycle,18,9,324,8,0.3,200000,0,0.0,57.67812538146973
bivariate_bicycle,18,9,324,8,0.32,200000,0,0.0,119.570392370224
bivariate_bicycle,18,9,324,8,0.34,200000,3,1.5e-05,104.28366994857788
bivariate_bicycle,18,9,324,8,0.36,200000,23,0.000115,128.38930773735046
bivariate_bicycle,18,9,324,8,0.38,200000,162,0.00081,203.8082983493805
bivariate_bicycle,18,9,324,8,0.4,200000,1172,0.00586,255.6913661956787
bivariate_bicycle,18,9,324,8,0.42,200000,5933,0.029665,390.28935194015503
bivariate_bicycle,24,12,576,16,0.3,200000,0,0.0,173.3395848274231
bivariate_bicycle,24,12,576,16,0.32,200000,1,5e-06,198.44354057312012
bivariate_bicycle,24,12,576,16,0.34,200000,0,0.0,234.43809151649475
bivariate_bicycle,24,12,576,16,0.36,200000,7,3.5e-05,301.69078969955444
bivariate_bicycle,24,12,576,16,0.38,200000,48,0.00024,398.01460814476013
bivariate_bicycle,24,12,576,16,0.4,200000,281,0.001405,629.8047907352448
bivariate_bicycle,24,12,576,16,0.42,200000,2201,0.011005,626.127920627594
