family,L,M,N,K,p,shots,fails,wer,seconds
bivariate_bicycle,18,9,324,8,0.3,200000,0,0.0,72.13530135154724
bivariate_bicycle,18,9,324,8,0.32,200000,0,0.0,82.28361678123474
bivariate_bicycle,18,9,324,8,0.34,200000,3,1.5e-05,69.55765843391418
bivariate_bicycle,18,9,324,8,0.36,200000,23,0.000115,112.11681532859802
bivariate_bicycle,18,9,324,8,0.38,200000,162,0.00081,136.09242343902588
bivariate_bicycle,18,9,324,8,0.4,200000,1172,0.00586,144.95356392860413
bivariate_bicycle,18,9,324,8,0.42,200000,5933,0.029665,190.36348724365234
bivariate_bicycle,18,9,324,8,0.44,200000,21768,0.10884,222.9669725894928
bivariate_bicycle,18,9,324,8,0.43,200000,11741,0.058705,205.46208596229553
bivariate_bicycle,18,9,324,8,0.435,200000,16399,0.081995,214.31037974357605
bivariate_bicycle,18,9,324,8,0.4375,200000,18811,0.094055,218.88188910484314
bivariate_bicycle,18,9,324,8,0.43875,200000,20345,0.101725,216.43506598472595
bivariate_bicycle,18,9,324,8,0.438125,200000,19911,0.099555,216.34137392044067
bivariate_bicycle,18,9,324,8,0.4384375,200000,19806,0.09903,217.36811423301697
bivariate_bicycle,24,12,576,16,0.3,200000,0,0.0,123.52465772628784
bivariate_bicycle,24,12,576,16,0.32,200000,1,5e-06,162.37132358551025
bivariate_bicycle,24,12,576,16,0.34,200000,0,0.0,206.29198503494263
bivariate_bicycle,24,12,576,16,0.36,200000,7,3.5e-05,260.56903743743896
bivariate_bicycle,24,12,576,16,0.38,200000,48,0.00024,327.76340770721436
bivariate_bicycle,24,12,576,16,0.4,200000,281,0.001405,421.5568504333496
bivariate_bicycle,24,12,576,16,0.42,200000,2201,0.011005,541.510844707489
bivariate_bicycle,24,12,576,16,0.44,200000,13239,0.066195,646.3297700881958
bivariate_bicycle,24,12,576,16,0.46,200000,51439,0.257195,702.2460317611694
bivariate_bicycle,24,12,576,16,0.45,200000,27957,0.139785,688.2282526493073
bivariate_bicycle,24,12,576,16,0.445,200000,19397,0.096985,672.2377908229828
bivariate_bicycle,24,12,576,16,0.4475,200000,23440,0.1172,679.4379043579102
bivariate_bicycle,24,12,576,16,0.44625,200000,21364,0.10682,673.9902386665344
bivariate_bicycle,24,12,576,16,0.445625,200000,20337,0.101685,669.5082333087921
bivariate_bicycle,24,12,576,16,0.4453125,200000,20053,0.100265,669.9346144199371
