family,L,M,N,K,p,shots,fails,wer,seconds
bivariate_bicycle,30,15,900,8,0.3,200000,0,0.0,326.5776472091675
bivariate_bicycle,30,15,900,8,0.32,200000,0,0.0,412.60875821113586
bivariate_bicycle,30,15,900,8,0.34,200000,0,0.0,537.9894983768463
bivariate_bicycle,30,15,900,8,0.36,200000,0,0.0,673.0404052734375
bivariate_bicycle,30,15,900,8,0.38,200000,0,0.0,810.9145543575287
bivariate_bicycle,30,15,900,8,0.4,200000,1,5e-06,994.5854756832123
bivariate_bicycle,30,15,900,8,0.42,200000,10,5e-05,1327.8180735111237
bivariate_bicycle,30,15,900,8,0.44,200000,499,0.002495,1761.02378988266
bivariate_bicycle,30,15,900,8,0.46,200000,9065,0.045325,2017.2516205310822
bivariate_bicycle,30,15,900,8,0.48,200000,56399,0.281995,2021.6976878643036
bivariate_bicycle,30,15,900,8,0.47,200000,25771,0.128855,2074.648643016815
bivariate_bicycle,30,15,900,8,0.465,200000,15417,0.077085,2121.512477874756
bivariate_bicycle,30,15,900,8,0.4675,200000,20134,0.10067,2351.9597864151
bivariate_bicycle,30,15,900,8,0.46625,200000,17845,0.089225,2106.7722387313843
bivariate_bicycle,30,15,900,8,0.466875,200000,18797,0.093985,2248.99111866951
bivariate_bicycle,30,15,900,8,0.4671875,200000,19630,0.09815,2276.3624300956726
bivariate_bicycle,36,18,1296,12,0.3,200000,0,0.0,880.8135161399841
bivariate_bicycle,36,18,1296,12,0.32,200000,0,0.0,996.1112079620361
bivariate_bicycle,36,18,1296,12,0.34,200000,0,0.0,1272.4243488311768
bivariate_bicycle,36,18,1296,12,0.36,200000,0,0.0,1615.8321170806885
bivariate_bicycle,36,18,1296,12,0.38,200000,0,0.0,1984.0071370601654
bivariate_bicycle,36,18,1296,12,0.4,200000,0,0.0,2298.8044695854187
bivariate_bicycle,36,18,1296,12,0.42,200000,2,1e-05,3080.6436202526093
bivariate_bicycle,36,18,1296,12,0.44,200000,110,0.00055,5056.745181798935
bivariate_bicycle,36,18,1296,12,0.46,200000,4590,0.02295,5994.87530374527
bivariate_bicycle,36,18,1296,12,0.48,200000,51687,0.258435,5500.1259796619415
bivariate_bicycle,36,18,1296,12,0.47,200000,18905,0.094525,5816.304694414139
bivariate_bicycle,36,18,1296,12,0.475,200000,32444,0.16222,5188.386583805084
bivariate_bicycle,36,18,1296,12,0.4725,200000,24833,0.124165,6147.517324924469
bivariate_bicycle,36,18,1296,12,0.47125,200000,21424,0.10712,5424.889208555222
bivariate_bicycle,36,18,1296,12,0.470625,200000,20060,0.1003,5240.7238557338715
bivariate_bicycle,36,18,1296,12,0.4703125,200000,19383,0.096915,5228.564900398254
